date,description,amount
2025-01-13,Rate position far building sign dog.,808.82
2025-04-02,Project Congress young by black list.,-403.32
2025-04-12,Red long method.,151.95
2025-03-19,Like vote big door.,-533.55
2025-03-18,Teacher middle center.,605.11
2025-03-09,Mrs high already evidence coach.,202.51
2025-03-28,Notice vote history expect.,923.63
2025-04-13,Necessary near station early project.,-664.20
2025-04-09,Week so technology seven eye community.,-876.30
2025-01-28,Source provide into.,681.36
2025-01-13,Road memory impact TV.,673.40
2025-02-28,Close position set husband.,-915.05
2025-05-04,By window about.,-566.56
2025-04-15,Campaign he home act student simply.,-665.47
