date,description,amount
2025-01-16,Cultural culture accept certain resource.,469.88
2025-01-06,Glass various gun quickly expect other.,205.20
2025-02-20,Maintain economy night according.,-745.83
2025-03-12,Vote in important miss current ahead.,-437.19
2025-02-16,Around young girl resource make entire.,550.37
2025-01-25,Sea difference property almost its side.,220.43
2025-02-25,Hair benefit difference break give.,120.77
2025-04-12,Imagine rather meeting officer relationship begin.,-652.59
2025-04-23,Type anyone speech.,222.09
2025-04-04,Own indeed woman.,-678.21
2025-03-30,Account admit market maintain.,-559.57
